tipo,valor,parceiro,data
Prémio Diário,20,–,2023-04-27 11:00:00
Prémio Diário,20,–,2023-04-28 12:24:00
Prémio Semanal,100,–,2023-04-28 19:15:00
Prémio Diário,20,–,2023-04-29 13:48:00
Prémio Mensal,200,–,2023-04-29 15:00:00
Prémio Diário,20,–,2023-04-30 14:12:00
Prémio Diário,20,–,2023-05-01 15:36:00
Prémio Diário,20,–,2023-05-02 16:00:00
Prémio Diário,20,–,2023-05-03 17:24:00
Prémio Diário,20,–,2023-05-04 18:48:00
Prémio Diário,20,–,2023-05-05 19:12:00
Prémio Diário,20,–,2023-05-06 20:36:00
Prémio Semanal,100,–,2023-05-06 21:45:00
Prémio Diário,20,–,2023-05-07 21:00:00
Prémio Diário,20,–,2023-05-08 22:24:00
Prémio Diário,20,–,2023-05-09 23:48:00
Prémio Diário,20,–,2023-05-10 07:12:00
Prémio Diário,20,–,2023-05-11 08:36:00
Prémio Diário,20,–,2023-05-12 09:00:00
Prémio Diário,20,–,2023-05-13 10:24:00
Prémio Semanal,100,–,2023-05-14 09:15:00
Prémio Diário,20,–,2023-05-14 11:48:00
Prémio Semanal,100,–,2023-05-15 11:45:00
Prémio Diário,20,–,2023-05-15 12:12:00
Prémio Diário,20,–,2023-05-16 13:36:00
Prémio Diário,20,–,2023-05-17 14:00:00
Prémio Diário,20,–,2023-05-18 15:24:00
Prémio Diário,20,–,2023-05-19 16:48:00
Prémio Extra Diário,10,Poke House,2023-05-20 12:45:00
Prémio Diário,20,–,2023-05-20 17:12:00
Prémio Extra Diário,10,Poke House,2023-05-21 12:45:00
Prémio Diário,20,–,2023-05-21 18:36:00
Prémio Extra Diário,10,Poke House,2023-05-22 12:45:00
Prémio Diário,20,–,2023-05-22 19:00:00
Prémio Extra Diário,10,Poke House,2023-05-23 12:45:00
Prémio Semanal,100,–,2023-05-23 13:15:00
Prémio Diário,20,–,2023-05-23 20:24:00
Prémio Extra Diário,10,Poke House,2023-05-24 12:45:00
Prémio Diário,20,–,2023-05-24 21:48:00
Prémio Extra Diário,10,Poke House,2023-05-25 12:45:00
Prémio Diário,20,–,2023-05-25 22:12:00
Prémio Extra Diário,10,Poke House,2023-05-26 12:45:00
Prémio Diário,20,–,2023-05-26 23:36:00
Prémio Diário,20,–,2023-05-27 07:00:00
Prémio Extra Diário,10,Poke House,2023-05-27 12:45:00
Prémio Mensal,200,–,2023-05-27 16:00:00
Prémio Diário,20,–,2023-05-28 08:24:00
Prémio Extra Diário,10,Poke House,2023-05-28 12:45:00
Prémio Diário,20,–,2023-05-29 09:48:00
Prémio Extra Diário,10,Poke House,2023-05-29 12:45:00
Prémio Diário,20,–,2023-05-30 10:12:00
Prémio Extra Diário,10,Poke House,2023-05-30 12:45:00
Prémio Diário,20,–,2023-05-31 11:36:00
Prémio Extra Diário,10,Poke House,2023-05-31 12:45:00
Prémio Semanal,100,–,2023-05-31 15:45:00
Prémio Diário,20,–,2023-06-01 12:00:00
Prémio Extra Diário,10,Poke House,2023-06-01 12:45:00
